FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
0.131899, 0.002078, 0.028027, 0.024161, 0.054764, 0.024232, 0.024947
0.134172, 0.001609, 0.025838, 0.024425, 0.055833, 0.027298, 0.028076
0.157867, 0.001592, 0.033217, 0.032214, 0.058320, 0.032022, 0.034116
0.139827, 0.001480, 0.027147, 0.026769, 0.055319, 0.029970, 0.030592
0.136265, 0.001541, 0.025498, 0.028247, 0.055271, 0.026340, 0.027249
0.142560, 0.002229, 0.031092, 0.030640, 0.055823, 0.024363, 0.025005
0.139510, 0.001440, 0.031886, 0.027287, 0.053789, 0.025881, 0.026548
0.143147, 0.002054, 0.027104, 0.029855, 0.053550, 0.031957, 0.032638
0.132965, 0.001489, 0.028747, 0.023349, 0.057922, 0.022298, 0.022947
0.138239, 0.002759, 0.031105, 0.027123, 0.053685, 0.025673, 0.026326
0.138845, 0.003117, 0.030157, 0.027390, 0.056324, 0.024289, 0.024974
0.145777, 0.002860, 0.032944, 0.027978, 0.057215, 0.026986, 0.027640
0.136422, 0.001516, 0.026175, 0.028499, 0.054077, 0.027037, 0.027671
0.133972, 0.001480, 0.026883, 0.023883, 0.055287, 0.027314, 0.027919
0.140317, 0.001527, 0.027142, 0.024935, 0.058229, 0.029029, 0.030011
0.145590, 0.002262, 0.025745, 0.032435, 0.059822, 0.026894, 0.027588
0.139542, 0.001505, 0.026099, 0.024338, 0.057791, 0.030443, 0.031314
0.134307, 0.001832, 0.027894, 0.028503, 0.050484, 0.026631, 0.027426
0.126165, 0.001778, 0.024098, 0.028880, 0.050365, 0.022172, 0.022822
0.134363, 0.003061, 0.028465, 0.027170, 0.052815, 0.025272, 0.025913
0.134545, 0.001447, 0.025632, 0.022455, 0.058259, 0.027544, 0.028199
0.131107, 0.001493, 0.027687, 0.023332, 0.052294, 0.027183, 0.027794
0.129956, 0.001443, 0.031034, 0.023284, 0.050343, 0.024472, 0.025295
0.143646, 0.002624, 0.028580, 0.031271, 0.055904, 0.027272, 0.027891
0.137322, 0.001517, 0.027958, 0.028649, 0.052951, 0.027084, 0.027764
0.137771, 0.001492, 0.025362, 0.029082, 0.054206, 0.028400, 0.029121
0.149290, 0.001435, 0.028109, 0.032346, 0.058609, 0.029256, 0.030226
0.134006, 0.002088, 0.030388, 0.024174, 0.055151, 0.023633, 0.024293
0.137575, 0.001451, 0.029399, 0.029368, 0.050577, 0.027514, 0.028231
0.142824, 0.001464, 0.029575, 0.029557, 0.058112, 0.024923, 0.025580
0.145129, 0.001461, 0.032832, 0.031305, 0.056950, 0.023393, 0.024042
0.148081, 0.001490, 0.030540, 0.027379, 0.058640, 0.030766, 0.031522
0.147022, 0.001471, 0.025561, 0.032401, 0.062241, 0.025967, 0.026819
0.134341, 0.002166, 0.027760, 0.026679, 0.056909, 0.022347, 0.022993
0.139891, 0.001514, 0.028975, 0.028628, 0.055952, 0.025664, 0.026336
0.144721, 0.001459, 0.028490, 0.027469, 0.057832, 0.029949, 0.030930
0.138625, 0.002402, 0.026252, 0.026957, 0.061594, 0.023160, 0.023822
0.141014, 0.001467, 0.028493, 0.023930, 0.063097, 0.024871, 0.025494
0.142659, 0.001443, 0.028855, 0.026689, 0.059719, 0.026503, 0.027396
0.128250, 0.002083, 0.025052, 0.026977, 0.053335, 0.022225, 0.022886
0.142810, 0.001427, 0.028662, 0.030342, 0.055528, 0.027609, 0.028278
0.136060, 0.001459, 0.028071, 0.027578, 0.055080, 0.024373, 0.025331
