FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
0.285827, 0.001366, 0.057434, 0.054590, 0.115512, 0.057643, 0.058291
0.289335, 0.001158, 0.060132, 0.061752, 0.112419, 0.054555, 0.055032
0.290553, 0.001401, 0.058309, 0.060099, 0.115999, 0.054816, 0.056146
0.280834, 0.001010, 0.055693, 0.054323, 0.114828, 0.055646, 0.055990
0.285879, 0.001186, 0.058253, 0.056242, 0.115210, 0.055758, 0.056174
0.287146, 0.001027, 0.056500, 0.059203, 0.115274, 0.055741, 0.056169
0.288587, 0.001043, 0.060514, 0.061967, 0.110158, 0.055585, 0.055948
0.287212, 0.001001, 0.060812, 0.054014, 0.116660, 0.055277, 0.055726
0.345783, 0.001655, 0.067627, 0.078810, 0.134935, 0.063704, 0.064411
0.299661, 0.000985, 0.065192, 0.055471, 0.120253, 0.058273, 0.058745
0.289788, 0.001455, 0.061347, 0.060539, 0.113436, 0.054084, 0.054466
0.284548, 0.001045, 0.055544, 0.055036, 0.115859, 0.057560, 0.058109
0.296078, 0.001261, 0.060298, 0.054782, 0.121411, 0.059237, 0.059587
0.291525, 0.001102, 0.061608, 0.055228, 0.120609, 0.053722, 0.054080
0.283048, 0.001005, 0.053984, 0.056059, 0.116099, 0.056604, 0.056906
0.302664, 0.000965, 0.060223, 0.061084, 0.121725, 0.059171, 0.059632
0.292452, 0.000990, 0.057544, 0.057029, 0.117529, 0.060016, 0.060350
0.279505, 0.000990, 0.054092, 0.055485, 0.114687, 0.054876, 0.055241
0.294470, 0.001034, 0.058171, 0.057186, 0.116660, 0.062043, 0.062453
0.283097, 0.001121, 0.058208, 0.054951, 0.113287, 0.056165, 0.056651
0.289584, 0.001083, 0.058193, 0.056708, 0.114405, 0.059978, 0.060278
0.290673, 0.000987, 0.062631, 0.053268, 0.116827, 0.057593, 0.057947
0.321657, 0.001003, 0.056009, 0.073041, 0.130148, 0.061945, 0.062459
0.302417, 0.001123, 0.061573, 0.057229, 0.118262, 0.063330, 0.065353
0.312494, 0.001091, 0.063532, 0.059934, 0.125540, 0.061918, 0.063488
0.306824, 0.001282, 0.060543, 0.060249, 0.123800, 0.061348, 0.062232
0.293434, 0.001058, 0.059710, 0.056393, 0.120638, 0.056356, 0.056693
0.289440, 0.001102, 0.060436, 0.058312, 0.115612, 0.054547, 0.055080
0.302792, 0.001001, 0.060540, 0.060797, 0.121259, 0.059786, 0.060196
0.302213, 0.000996, 0.064469, 0.061944, 0.117169, 0.058229, 0.058631
