FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
0.327496, 0.001805, 0.075448, 0.068249, 0.121478, 0.061894, 0.062321
0.312471, 0.001023, 0.058846, 0.058429, 0.130409, 0.064316, 0.064787
0.327094, 0.001111, 0.058468, 0.076986, 0.126440, 0.062476, 0.065200
0.300434, 0.001102, 0.061241, 0.059003, 0.120809, 0.058953, 0.059381
0.299977, 0.001155, 0.060883, 0.060738, 0.121076, 0.056853, 0.057280
0.336327, 0.001059, 0.057813, 0.062098, 0.155362, 0.060416, 0.061054
0.307507, 0.001159, 0.060515, 0.063965, 0.120962, 0.061711, 0.062065
0.306716, 0.001010, 0.056357, 0.060151, 0.129375, 0.059846, 0.060833
0.303001, 0.001007, 0.058273, 0.057833, 0.127813, 0.058577, 0.059082
0.292140, 0.001197, 0.058409, 0.056015, 0.117534, 0.059805, 0.060182
0.313349, 0.000995, 0.059079, 0.059336, 0.132306, 0.061563, 0.062628
0.395760, 0.001072, 0.062604, 0.074439, 0.190016, 0.068252, 0.068701
0.297397, 0.001088, 0.055215, 0.056481, 0.127302, 0.057976, 0.058399
0.307055, 0.001037, 0.056418, 0.062167, 0.122898, 0.064702, 0.065572
0.320401, 0.002738, 0.070502, 0.061355, 0.127186, 0.060747, 0.061358
0.327858, 0.001236, 0.066084, 0.062848, 0.133660, 0.064544, 0.065266
0.326176, 0.002337, 0.073183, 0.060937, 0.120481, 0.070827, 0.071575
0.350867, 0.001326, 0.076616, 0.076174, 0.133004, 0.064696, 0.065073
0.350636, 0.001108, 0.069327, 0.075064, 0.142006, 0.063777, 0.064239
0.305318, 0.001312, 0.058551, 0.063395, 0.122223, 0.060785, 0.061149
0.306613, 0.001046, 0.061268, 0.062265, 0.123063, 0.059321, 0.060017
0.297943, 0.001815, 0.059921, 0.060174, 0.119558, 0.057926, 0.058290
0.318097, 0.000963, 0.066032, 0.067039, 0.121676, 0.062834, 0.063350
0.296094, 0.001238, 0.058772, 0.059907, 0.120496, 0.056488, 0.056919
0.303767, 0.001305, 0.061194, 0.059715, 0.122377, 0.059567, 0.060481
0.349972, 0.001105, 0.060598, 0.058951, 0.154163, 0.075382, 0.076260
0.319256, 0.001844, 0.076193, 0.061196, 0.122397, 0.059051, 0.059470
0.312681, 0.001100, 0.060226, 0.060240, 0.124840, 0.066873, 0.067375
0.314651, 0.001015, 0.065496, 0.061650, 0.126303, 0.060789, 0.061202
0.294352, 0.001138, 0.060364, 0.058130, 0.118051, 0.057404, 0.057807
0.302361, 0.001009, 0.056264, 0.057005, 0.121703, 0.065849, 0.067389
0.374790, 0.001801, 0.082379, 0.073495, 0.150851, 0.066771, 0.068065
0.296591, 0.002575, 0.063477, 0.057856, 0.119280, 0.055230, 0.055978
0.300331, 0.001482, 0.058713, 0.057703, 0.119741, 0.063649, 0.064174
0.300021, 0.001202, 0.059046, 0.060253, 0.122651, 0.057348, 0.058071
0.292689, 0.001080, 0.059538, 0.056803, 0.115786, 0.060182, 0.060562
0.299854, 0.000995, 0.056609, 0.058274, 0.119678, 0.063701, 0.065293
0.307144, 0.001832, 0.063599, 0.058008, 0.126042, 0.058768, 0.059495
0.298083, 0.001837, 0.061047, 0.059064, 0.121176, 0.056370, 0.056796
0.295478, 0.001560, 0.061541, 0.054413, 0.122314, 0.056739, 0.057210
0.299046, 0.000996, 0.059743, 0.056842, 0.122404, 0.059634, 0.060057
0.296751, 0.000984, 0.062918, 0.060582, 0.116700, 0.056141, 0.056551
