FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
0.278513, 0.002014, 0.058982, 0.056775, 0.109066, 0.053280, 0.053690
0.273629, 0.000950, 0.054194, 0.053603, 0.111940, 0.053479, 0.053892
0.275039, 0.001003, 0.057643, 0.053521, 0.109356, 0.053389, 0.054519
0.274133, 0.000934, 0.054100, 0.053404, 0.109518, 0.056826, 0.057111
0.275633, 0.000963, 0.054164, 0.053912, 0.109475, 0.057680, 0.058082
0.273953, 0.000960, 0.054120, 0.053495, 0.112373, 0.053603, 0.053965
0.270314, 0.000938, 0.054154, 0.053511, 0.108990, 0.053408, 0.053659
0.273401, 0.000910, 0.054145, 0.053432, 0.112157, 0.053254, 0.053667
0.273665, 0.000928, 0.054092, 0.055359, 0.110606, 0.053341, 0.053608
0.272900, 0.000920, 0.054061, 0.053466, 0.111718, 0.053362, 0.053655
0.271215, 0.000877, 0.054048, 0.053527, 0.108823, 0.054439, 0.054817
0.270627, 0.000918, 0.054085, 0.053462, 0.109347, 0.053368, 0.053733
0.273581, 0.000923, 0.054332, 0.053903, 0.111677, 0.053362, 0.053669
0.269883, 0.000930, 0.054088, 0.053433, 0.108763, 0.053328, 0.053599
0.272517, 0.000933, 0.054154, 0.055493, 0.109197, 0.053365, 0.053673
0.273607, 0.000902, 0.054163, 0.053435, 0.108928, 0.056678, 0.057081
0.271097, 0.000923, 0.054074, 0.053450, 0.109900, 0.053347, 0.053673
0.273296, 0.000920, 0.054102, 0.056854, 0.108771, 0.053299, 0.053569
0.273740, 0.000928, 0.054114, 0.057002, 0.108997, 0.053353, 0.053627
0.273598, 0.000908, 0.054090, 0.055678, 0.110119, 0.053308, 0.053711
0.270088, 0.000933, 0.054380, 0.053525, 0.108591, 0.053332, 0.053592
0.273485, 0.000913, 0.054078, 0.053496, 0.108905, 0.056707, 0.057006
0.269847, 0.000931, 0.054111, 0.053482, 0.108651, 0.053366, 0.053603
0.273962, 0.000899, 0.054099, 0.055849, 0.110258, 0.053314, 0.053756
0.274993, 0.000923, 0.057098, 0.055229, 0.109007, 0.053363, 0.053659
0.273880, 0.000914, 0.054101, 0.053392, 0.112738, 0.053311, 0.053649
0.275941, 0.000937, 0.054143, 0.054965, 0.112444, 0.054114, 0.054389
0.271273, 0.000913, 0.054086, 0.053629, 0.109784, 0.053346, 0.053774
0.275818, 0.000924, 0.054085, 0.053429, 0.114642, 0.053398, 0.053662
0.270121, 0.000914, 0.054200, 0.053388, 0.108921, 0.053309, 0.053612
0.272063, 0.000931, 0.054123, 0.053504, 0.109002, 0.055155, 0.055434
0.269387, 0.000907, 0.054150, 0.053426, 0.108111, 0.053340, 0.053700
0.269857, 0.000922, 0.054106, 0.053365, 0.108777, 0.053323, 0.053609
0.274116, 0.000924, 0.054121, 0.056555, 0.109569, 0.053587, 0.053871
0.278089, 0.000933, 0.054184, 0.053751, 0.116454, 0.053390, 0.053700
0.271332, 0.000906, 0.054105, 0.054355, 0.109086, 0.053401, 0.053786
0.273348, 0.000920, 0.054125, 0.053421, 0.112130, 0.053368, 0.053672
0.273986, 0.000918, 0.054102, 0.053453, 0.112323, 0.053812, 0.054108
0.276689, 0.001005, 0.054432, 0.056621, 0.112028, 0.053338, 0.053608
0.272086, 0.000901, 0.054060, 0.053460, 0.110826, 0.053355, 0.053740
0.270835, 0.000923, 0.054142, 0.053529, 0.109531, 0.053350, 0.053633
0.270604, 0.000916, 0.054093, 0.053424, 0.109403, 0.053369, 0.053684
0.270434, 0.000939, 0.054106, 0.053466, 0.109302, 0.053318, 0.053560
0.278570, 0.000898, 0.054090, 0.053539, 0.117216, 0.053300, 0.053725
0.269427, 0.000922, 0.054090, 0.053417, 0.108358, 0.053305, 0.053562
0.270410, 0.000910, 0.054108, 0.053564, 0.109059, 0.053376, 0.053679
0.269973, 0.000932, 0.054080, 0.053457, 0.108858, 0.053341, 0.053578
0.281824, 0.000898, 0.054081, 0.053326, 0.117195, 0.056788, 0.057222
0.290863, 0.001001, 0.060172, 0.059579, 0.116799, 0.054040, 0.054313
0.277704, 0.000918, 0.054084, 0.053503, 0.112255, 0.057548, 0.057862
