FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
0.292168, 0.001639, 0.055610, 0.056640, 0.123152, 0.056413, 0.056766
0.287610, 0.001182, 0.054332, 0.058673, 0.114581, 0.059580, 0.060024
0.298118, 0.001094, 0.058028, 0.059556, 0.119854, 0.059237, 0.060680
0.288575, 0.001200, 0.061218, 0.056816, 0.115482, 0.054719, 0.055059
0.292106, 0.001077, 0.062695, 0.053738, 0.118476, 0.056691, 0.057197
0.291400, 0.001118, 0.059711, 0.058592, 0.119408, 0.053323, 0.053689
0.285575, 0.001028, 0.057264, 0.055883, 0.118508, 0.053593, 0.053920
0.280144, 0.001004, 0.053959, 0.053255, 0.111737, 0.060340, 0.061193
0.300414, 0.001039, 0.061875, 0.060328, 0.119109, 0.058749, 0.059102
0.293039, 0.001105, 0.057112, 0.058220, 0.119738, 0.057604, 0.057969
0.279890, 0.000987, 0.054272, 0.056562, 0.112248, 0.056421, 0.056808
0.288782, 0.000989, 0.057335, 0.059725, 0.112449, 0.058832, 0.059273
0.290909, 0.001229, 0.057584, 0.061662, 0.111917, 0.059393, 0.059746
0.289917, 0.000996, 0.060914, 0.055266, 0.115450, 0.057821, 0.058287
0.291129, 0.001035, 0.063539, 0.056235, 0.115351, 0.055469, 0.056004
0.281892, 0.001254, 0.054786, 0.054307, 0.114896, 0.057532, 0.057903
0.298643, 0.001021, 0.061152, 0.059351, 0.115633, 0.062163, 0.062507
0.284855, 0.001019, 0.057346, 0.056023, 0.114501, 0.056695, 0.056985
0.295908, 0.000997, 0.056905, 0.060300, 0.120374, 0.057522, 0.058329
0.299578, 0.001523, 0.062156, 0.060439, 0.118118, 0.058544, 0.058865
0.296779, 0.001017, 0.058811, 0.057723, 0.123796, 0.056008, 0.056449
0.282550, 0.001251, 0.055560, 0.053253, 0.116877, 0.056543, 0.056860
0.290709, 0.001036, 0.054255, 0.054903, 0.124055, 0.057038, 0.057496
0.286981, 0.001450, 0.058767, 0.055818, 0.114760, 0.057272, 0.057636
0.286277, 0.000983, 0.057258, 0.057689, 0.114503, 0.056444, 0.056827
0.293388, 0.001059, 0.060899, 0.060154, 0.118974, 0.053050, 0.053361
0.291657, 0.001001, 0.056644, 0.056833, 0.120751, 0.056639, 0.057429
0.290520, 0.000991, 0.054468, 0.055176, 0.120660, 0.059896, 0.060216
0.294341, 0.001023, 0.054243, 0.056620, 0.123001, 0.060122, 0.060477
0.285479, 0.000992, 0.055957, 0.060702, 0.111929, 0.056535, 0.056891
0.287226, 0.001694, 0.057307, 0.060371, 0.113279, 0.055899, 0.056269
0.293654, 0.001026, 0.061479, 0.057649, 0.114463, 0.059703, 0.060063
0.294840, 0.001000, 0.060743, 0.058320, 0.118929, 0.056478, 0.056848
0.297218, 0.000991, 0.059812, 0.058323, 0.121738, 0.056960, 0.057345
0.292552, 0.000988, 0.059001, 0.056711, 0.116644, 0.059769, 0.060196
0.283529, 0.001107, 0.057027, 0.056650, 0.111084, 0.058375, 0.058768
0.294669, 0.001003, 0.057370, 0.056666, 0.122453, 0.057814, 0.058180
