FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
0.008987, 0.000056, 0.001515, 0.001482, 0.004462, 0.001511, 0.001528
0.008833, 0.000038, 0.001505, 0.001431, 0.004403, 0.001480, 0.001494
0.008846, 0.000039, 0.001456, 0.001480, 0.004391, 0.001498, 0.001519
0.008747, 0.000045, 0.001457, 0.001531, 0.004317, 0.001421, 0.001442
0.008700, 0.000042, 0.001460, 0.001452, 0.004349, 0.001425, 0.001439
0.008822, 0.000092, 0.001519, 0.001453, 0.004362, 0.001472, 0.001488
0.008708, 0.000040, 0.001553, 0.001419, 0.004297, 0.001425, 0.001439
0.008654, 0.000044, 0.001460, 0.001425, 0.004316, 0.001439, 0.001453
0.008617, 0.000040, 0.001470, 0.001418, 0.004293, 0.001427, 0.001436
0.008662, 0.000044, 0.001464, 0.001429, 0.004301, 0.001454, 0.001468
0.008621, 0.000040, 0.001456, 0.001412, 0.004312, 0.001429, 0.001441
0.008639, 0.000042, 0.001463, 0.001408, 0.004333, 0.001421, 0.001435
0.008669, 0.000040, 0.001460, 0.001444, 0.004319, 0.001436, 0.001446
0.008671, 0.000044, 0.001464, 0.001475, 0.004291, 0.001426, 0.001441
0.008640, 0.000039, 0.001463, 0.001446, 0.004293, 0.001425, 0.001438
0.008668, 0.000040, 0.001457, 0.001411, 0.004320, 0.001462, 0.001480
0.008856, 0.000040, 0.001468, 0.001510, 0.004437, 0.001428, 0.001441
0.008811, 0.000041, 0.001460, 0.001483, 0.004351, 0.001503, 0.001517
0.008911, 0.000043, 0.001465, 0.001509, 0.004389, 0.001534, 0.001548
0.008818, 0.000042, 0.001474, 0.001482, 0.004355, 0.001493, 0.001507
0.008788, 0.000043, 0.001456, 0.001486, 0.004369, 0.001463, 0.001477
0.008640, 0.000040, 0.001471, 0.001416, 0.004316, 0.001422, 0.001437
0.008750, 0.000044, 0.001457, 0.001450, 0.004304, 0.001522, 0.001539
0.008693, 0.000040, 0.001498, 0.001429, 0.004326, 0.001425, 0.001440
0.008685, 0.000044, 0.001467, 0.001451, 0.004316, 0.001439, 0.001451
0.008621, 0.000039, 0.001459, 0.001441, 0.004285, 0.001427, 0.001436
0.008637, 0.000040, 0.001469, 0.001444, 0.004285, 0.001425, 0.001439
0.008642, 0.000041, 0.001463, 0.001427, 0.004304, 0.001439, 0.001448
0.008751, 0.000038, 0.001456, 0.001451, 0.004402, 0.001426, 0.001442
0.008905, 0.000042, 0.001525, 0.001470, 0.004467, 0.001434, 0.001443
0.008714, 0.000041, 0.001500, 0.001441, 0.004332, 0.001427, 0.001441
0.008620, 0.000039, 0.001458, 0.001420, 0.004300, 0.001429, 0.001442
0.008727, 0.000038, 0.001468, 0.001502, 0.004313, 0.001429, 0.001444
0.008703, 0.000042, 0.001478, 0.001443, 0.004311, 0.001450, 0.001471
0.008632, 0.000041, 0.001468, 0.001416, 0.004301, 0.001432, 0.001447
0.008668, 0.000043, 0.001473, 0.001455, 0.004300, 0.001426, 0.001440
0.008765, 0.000096, 0.001519, 0.001448, 0.004353, 0.001431, 0.001445
0.009268, 0.000042, 0.001460, 0.001424, 0.004334, 0.002030, 0.002050
0.010075, 0.000045, 0.001700, 0.001655, 0.005038, 0.001666, 0.001682
0.010078, 0.000049, 0.001696, 0.001664, 0.005039, 0.001663, 0.001679
0.011518, 0.000047, 0.001704, 0.001691, 0.006439, 0.001673, 0.001684
0.010880, 0.000846, 0.002507, 0.001691, 0.004999, 0.001672, 0.001683
0.008908, 0.000034, 0.001689, 0.001450, 0.004323, 0.001437, 0.001446
0.008662, 0.000030, 0.001450, 0.001443, 0.004330, 0.001430, 0.001439
0.008617, 0.000028, 0.001449, 0.001414, 0.004312, 0.001433, 0.001442
0.008655, 0.000028, 0.001451, 0.001428, 0.004325, 0.001441, 0.001451
0.008645, 0.000028, 0.001455, 0.001415, 0.004332, 0.001434, 0.001443
0.008655, 0.000029, 0.001449, 0.001450, 0.004314, 0.001434, 0.001442
0.008631, 0.000030, 0.001445, 0.001444, 0.004302, 0.001431, 0.001440
0.008640, 0.000030, 0.001451, 0.001440, 0.004313, 0.001427, 0.001436
0.008629, 0.000030, 0.001450, 0.001445, 0.004298, 0.001427, 0.001436
0.008640, 0.000030, 0.001453, 0.001426, 0.004314, 0.001438, 0.001447
0.008624, 0.000030, 0.001453, 0.001440, 0.004303, 0.001419, 0.001428
0.008626, 0.000031, 0.001445, 0.001413, 0.004327, 0.001431, 0.001441
0.008614, 0.000029, 0.001458, 0.001407, 0.004312, 0.001429, 0.001437
0.008633, 0.000030, 0.001448, 0.001420, 0.004312, 0.001440, 0.001453
0.008607, 0.000030, 0.001449, 0.001422, 0.004295, 0.001432, 0.001441
0.008641, 0.000030, 0.001452, 0.001415, 0.004325, 0.001440, 0.001449
0.008579, 0.000029, 0.001447, 0.001409, 0.004294, 0.001420, 0.001429
0.008617, 0.000030, 0.001442, 0.001412, 0.004331, 0.001422, 0.001432
0.008635, 0.000030, 0.001453, 0.001420, 0.004319, 0.001433, 0.001443
0.009965, 0.000029, 0.001471, 0.001727, 0.005097, 0.001659, 0.001670
0.009700, 0.000034, 0.001701, 0.001655, 0.004895, 0.001439, 0.001449
0.008592, 0.000030, 0.001450, 0.001413, 0.004288, 0.001431, 0.001441
0.008724, 0.000030, 0.001453, 0.001470, 0.004349, 0.001442, 0.001452
0.008624, 0.000030, 0.001449, 0.001451, 0.004292, 0.001423, 0.001432
0.009505, 0.000030, 0.001456, 0.001448, 0.004932, 0.001658, 0.001669
0.010056, 0.000036, 0.001687, 0.001661, 0.005024, 0.001672, 0.001684
0.010047, 0.000038, 0.001702, 0.001658, 0.005016, 0.001660, 0.001671
0.009410, 0.000035, 0.001683, 0.001656, 0.004636, 0.001426, 0.001435
0.008656, 0.000031, 0.001452, 0.001447, 0.004313, 0.001435, 0.001444
0.008655, 0.000030, 0.001452, 0.001452, 0.004305, 0.001434, 0.001446
0.008660, 0.000030, 0.001448, 0.001444, 0.004320, 0.001439, 0.001448
0.009510, 0.000029, 0.001443, 0.001410, 0.004984, 0.001661, 0.001673
0.010029, 0.000035, 0.001679, 0.001654, 0.005016, 0.001669, 0.001680
0.010134, 0.000036, 0.001697, 0.001707, 0.005048, 0.001670, 0.001682
0.009827, 0.000036, 0.001691, 0.001699, 0.004985, 0.001443, 0.001452
0.008673, 0.000029, 0.001445, 0.001459, 0.004317, 0.001442, 0.001452
0.008628, 0.000029, 0.001454, 0.001419, 0.004317, 0.001429, 0.001438
0.008595, 0.000030, 0.001438, 0.001413, 0.004306, 0.001429, 0.001438
0.009751, 0.000029, 0.001446, 0.001471, 0.005151, 0.001671, 0.001683
0.010092, 0.000035, 0.001685, 0.001695, 0.005015, 0.001685, 0.001697
0.010024, 0.000035, 0.001631, 0.001672, 0.005030, 0.001680, 0.001691
0.010240, 0.000034, 0.001692, 0.001690, 0.005164, 0.001683, 0.001694
