FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
5.013708, 0.306235, 1.234113, 0.934513, 1.844102, 0.933100, 1.000980
4.969290, 0.304315, 1.223476, 0.921043, 1.858545, 0.898923, 0.966226
4.957312, 0.274710, 1.195343, 0.921644, 1.838657, 0.936848, 1.001668
4.958687, 0.281274, 1.210176, 0.924812, 1.845508, 0.916264, 0.978191
4.933978, 0.274266, 1.201930, 0.912838, 1.843549, 0.914020, 0.975661
4.976125, 0.340127, 1.253584, 0.922680, 1.826121, 0.905121, 0.973740
4.921718, 0.276087, 1.158239, 0.912566, 1.857333, 0.930220, 0.993580
4.997436, 0.357508, 1.275204, 0.915781, 1.829141, 0.914357, 0.977310
4.930856, 0.269460, 1.188574, 0.908771, 1.860633, 0.911705, 0.972878
4.913176, 0.282239, 1.191785, 0.923039, 1.834411, 0.901086, 0.963941
5.021458, 0.336006, 1.241117, 0.927944, 1.867251, 0.919040, 0.985146
4.924198, 0.269051, 1.183598, 0.919679, 1.843686, 0.911854, 0.977235
5.016893, 0.341224, 1.261532, 0.924535, 1.832920, 0.933763, 0.997906
4.933661, 0.281401, 1.206643, 0.902762, 1.844950, 0.914297, 0.979306
4.936392, 0.284240, 1.202191, 0.916586, 1.826551, 0.927684, 0.991064
4.980220, 0.279399, 1.203767, 0.916775, 1.868240, 0.928054, 0.991438
4.946850, 0.280848, 1.196854, 0.929814, 1.849871, 0.911511, 0.970311
4.965188, 0.280346, 1.200888, 0.920467, 1.860371, 0.920457, 0.983462
4.958185, 0.276800, 1.200599, 0.922428, 1.852568, 0.922465, 0.982590
5.016566, 0.342452, 1.260042, 0.927958, 1.850345, 0.910992, 0.978221
4.926200, 0.274997, 1.196899, 0.923423, 1.837739, 0.906454, 0.968139
4.976225, 0.269942, 1.189244, 0.920494, 1.857931, 0.945836, 1.008556
5.032977, 0.353935, 1.277178, 0.924720, 1.843954, 0.922630, 0.987125
4.908443, 0.272055, 1.188632, 0.921321, 1.823957, 0.915217, 0.974533
5.017350, 0.340150, 1.269760, 0.916902, 1.838334, 0.927101, 0.992354
4.925336, 0.282417, 1.189563, 0.919573, 1.838215, 0.915447, 0.977985
4.918522, 0.278450, 1.204815, 0.923960, 1.815535, 0.910729, 0.974212
4.915522, 0.275879, 1.180895, 0.917969, 1.834752, 0.919655, 0.981906
4.971177, 0.273979, 1.195678, 0.922802, 1.868949, 0.923868, 0.983748
4.887628, 0.270787, 1.173112, 0.916169, 1.826152, 0.911061, 0.972195
4.942098, 0.278246, 1.194854, 0.939409, 1.840405, 0.908448, 0.967430
5.004688, 0.347326, 1.273567, 0.906889, 1.826626, 0.933743, 0.997606
5.093372, 0.273302, 1.182997, 0.926724, 1.957648, 0.956810, 1.026003
5.003307, 0.301182, 1.243171, 0.941181, 1.842407, 0.910653, 0.976548
5.142361, 0.352720, 1.267432, 0.935465, 1.869835, 1.003262, 1.069629
4.922414, 0.273509, 1.182240, 0.913756, 1.837016, 0.926165, 0.989402
5.043288, 0.336697, 1.268425, 0.902937, 1.853282, 0.952269, 1.018644
4.930795, 0.273716, 1.189237, 0.934666, 1.835176, 0.905583, 0.971716
4.909686, 0.277146, 1.182991, 0.916795, 1.827815, 0.917340, 0.982085
4.923587, 0.273434, 1.192219, 0.912477, 1.840450, 0.918256, 0.978441
4.962324, 0.276127, 1.208480, 0.918329, 1.842422, 0.930156, 0.993093
4.922955, 0.268803, 1.181976, 0.920306, 1.846187, 0.912805, 0.974486
4.926933, 0.273023, 1.175882, 0.928920, 1.846405, 0.912989, 0.975726
5.025133, 0.336515, 1.256406, 0.907030, 1.854337, 0.943307, 1.007360
4.925668, 0.272426, 1.182403, 0.931235, 1.827359, 0.924264, 0.984671
4.928615, 0.268339, 1.193607, 0.929088, 1.834321, 0.908564, 0.971599
4.975336, 0.332068, 1.243321, 0.895240, 1.857003, 0.917073, 0.979772
4.861123, 0.276690, 1.175118, 0.903870, 1.806998, 0.912424, 0.975137
4.963164, 0.331498, 1.249715, 0.898452, 1.829805, 0.919586, 0.985192
4.944935, 0.273680, 1.202876, 0.917375, 1.848996, 0.911315, 0.975688
4.905156, 0.280914, 1.184405, 0.904355, 1.839531, 0.915442, 0.976865
4.888102, 0.271217, 1.183145, 0.904955, 1.822434, 0.917769, 0.977568
4.897140, 0.275239, 1.183389, 0.916640, 1.834471, 0.903680, 0.962640
5.449133, 0.269896, 1.239604, 1.018383, 2.058032, 1.059453, 1.133114
5.294092, 0.305257, 1.270613, 0.997152, 1.937275, 1.016314, 1.089052
5.598528, 0.357986, 1.427919, 0.943725, 1.951944, 1.142105, 1.274940
5.410745, 0.425121, 1.399638, 0.939523, 2.031847, 0.967870, 1.039737
5.215891, 0.311463, 1.270900, 0.965799, 1.966814, 0.946162, 1.012378
5.254183, 0.377725, 1.317988, 0.963731, 1.937482, 0.965218, 1.034982
5.174727, 0.302782, 1.259853, 0.958279, 1.934118, 0.951804, 1.022477
5.579084, 0.372933, 1.426392, 1.061697, 2.007908, 0.985597, 1.083087
5.083006, 0.313478, 1.259792, 0.961225, 1.860983, 0.935741, 1.001006
5.152262, 0.288651, 1.237178, 0.947146, 1.886131, 0.969621, 1.081807
5.211895, 0.304404, 1.264262, 0.953768, 1.943951, 0.980250, 1.049914
5.499582, 0.281194, 1.243641, 1.003060, 2.038427, 1.106979, 1.214454
5.266807, 0.433856, 1.427520, 0.965045, 1.887278, 0.916564, 0.986964
4.969069, 0.303541, 1.209669, 0.925204, 1.852122, 0.910890, 0.982074
5.201677, 0.420793, 1.346703, 0.917995, 1.858756, 0.938509, 1.078223
5.317633, 0.473491, 1.438117, 0.949120, 1.925271, 0.938016, 1.005125
5.109414, 0.285253, 1.223851, 0.959660, 1.915223, 0.943195, 1.010680
5.257316, 0.358809, 1.302892, 0.927531, 2.000241, 0.955576, 1.026652
5.130866, 0.295994, 1.237890, 0.932906, 1.925122, 0.959805, 1.034948
5.243491, 0.366087, 1.307624, 0.934119, 1.933665, 0.989331, 1.068083
5.217748, 0.310804, 1.276268, 0.971927, 1.950596, 0.953555, 1.018957
5.042234, 0.295946, 1.212967, 0.931315, 1.863867, 0.964754, 1.034085
5.387464, 0.395899, 1.369911, 1.025101, 1.969724, 0.955501, 1.022728
5.083126, 0.293980, 1.223534, 0.919185, 1.888859, 0.982835, 1.051548
5.127821, 0.300629, 1.244926, 0.958370, 1.925642, 0.931466, 0.998883
4.976618, 0.285667, 1.203023, 0.954289, 1.844775, 0.914103, 0.974531
5.044452, 0.356772, 1.279584, 0.907000, 1.873979, 0.918194, 0.983889
5.276003, 0.293039, 1.302593, 0.996082, 1.973621, 0.933400, 1.003707
5.240079, 0.306711, 1.256110, 0.952070, 1.992652, 0.975519, 1.039247
5.224430, 0.350065, 1.282752, 0.973085, 1.946166, 0.952642, 1.022427
5.091892, 0.279722, 1.207892, 0.936637, 1.874301, 0.958679, 1.073062
5.424840, 0.407347, 1.333714, 0.943217, 2.047548, 1.025489, 1.100361
5.428829, 0.314416, 1.300892, 0.986865, 2.003263, 0.973524, 1.137809
5.276312, 0.287966, 1.219073, 0.979125, 1.986122, 1.013458, 1.091992
5.451627, 0.344326, 1.316029, 1.163645, 1.929220, 0.979079, 1.042733
5.127496, 0.291758, 1.277175, 0.989908, 1.886728, 0.907371, 0.973685
4.923682, 0.292178, 1.187027, 0.929237, 1.833219, 0.912109, 0.974199
4.942082, 0.281084, 1.191460, 0.916555, 1.846835, 0.927159, 0.987232
5.032478, 0.350244, 1.260338, 0.937150, 1.857395, 0.914557, 0.977595
4.967992, 0.286740, 1.207092, 0.932092, 1.843615, 0.915797, 0.985193
5.029165, 0.286953, 1.206838, 0.936564, 1.876185, 0.947189, 1.009578
5.069036, 0.349644, 1.269542, 0.937605, 1.895026, 0.902902, 0.966863
5.083028, 0.272302, 1.191282, 0.912455, 1.913389, 1.002993, 1.065902
5.144434, 0.366883, 1.301790, 0.937028, 1.901222, 0.938001, 1.004394
5.309272, 0.328304, 1.338383, 0.973851, 1.974792, 0.955950, 1.022246
5.076486, 0.311235, 1.251015, 0.953080, 1.865065, 0.936313, 1.007326
5.163106, 0.305025, 1.279712, 0.933036, 1.930770, 0.950438, 1.019588
