FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
0.358684, 0.107514, 0.152905, 0.045930, 0.093854, 0.045575, 0.065995
0.360391, 0.101245, 0.146564, 0.045789, 0.097064, 0.049857, 0.070974
0.363012, 0.100493, 0.145912, 0.045946, 0.098832, 0.050634, 0.072322
0.359379, 0.099342, 0.144608, 0.045836, 0.097465, 0.049608, 0.071470
0.352955, 0.097650, 0.143024, 0.045606, 0.093609, 0.047901, 0.070716
0.391601, 0.123865, 0.169206, 0.048650, 0.101700, 0.049598, 0.072045
0.364960, 0.091357, 0.141264, 0.048556, 0.101336, 0.049883, 0.073804
0.361536, 0.102027, 0.151275, 0.046415, 0.094418, 0.049462, 0.069428
0.351196, 0.092306, 0.137647, 0.045851, 0.097855, 0.049453, 0.069843
0.354765, 0.095669, 0.140993, 0.045835, 0.101490, 0.046001, 0.066447
0.380222, 0.121156, 0.167473, 0.046809, 0.095735, 0.048530, 0.070205
0.345145, 0.093179, 0.138506, 0.045804, 0.094065, 0.045721, 0.066770
0.350039, 0.093614, 0.142361, 0.048530, 0.093395, 0.045716, 0.065753
0.343070, 0.092138, 0.137467, 0.045951, 0.093645, 0.045619, 0.066007
0.360138, 0.097293, 0.146133, 0.049880, 0.098534, 0.045649, 0.065591
0.366025, 0.114432, 0.159765, 0.045645, 0.093557, 0.045555, 0.067058
0.345331, 0.089324, 0.134664, 0.045825, 0.093686, 0.049911, 0.071156
0.361194, 0.095944, 0.146124, 0.046155, 0.100640, 0.048395, 0.068275
0.355597, 0.092324, 0.137643, 0.048324, 0.097429, 0.048579, 0.072201
0.359704, 0.092842, 0.140611, 0.048103, 0.101612, 0.046247, 0.069378
0.370931, 0.118943, 0.164370, 0.045888, 0.093496, 0.045611, 0.067177
0.357321, 0.091934, 0.137254, 0.047287, 0.099724, 0.050591, 0.073056
0.353887, 0.093656, 0.138977, 0.048695, 0.097772, 0.048545, 0.068443
0.349253, 0.095087, 0.140428, 0.048755, 0.094089, 0.045579, 0.065981
