FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
0.013182, 0.000023, 0.003072, 0.002254, 0.005993, 0.001861, 0.001863
0.010117, 0.000008, 0.001772, 0.001674, 0.005006, 0.001662, 0.001665
0.011253, 0.000005, 0.001894, 0.001908, 0.005413, 0.002029, 0.002038
0.011987, 0.000008, 0.002007, 0.002028, 0.006139, 0.001809, 0.001813
0.010552, 0.000008, 0.001669, 0.001660, 0.005257, 0.001963, 0.001966
0.010374, 0.000008, 0.001866, 0.001818, 0.005012, 0.001676, 0.001678
0.010048, 0.000005, 0.001678, 0.001664, 0.005033, 0.001669, 0.001673
0.010242, 0.000006, 0.001666, 0.001667, 0.005023, 0.001878, 0.001886
0.010038, 0.000006, 0.001671, 0.001692, 0.005002, 0.001670, 0.001673
0.010328, 0.000007, 0.001673, 0.001667, 0.005313, 0.001672, 0.001675
0.010066, 0.000006, 0.001676, 0.001658, 0.005059, 0.001671, 0.001673
0.010049, 0.000006, 0.001668, 0.001674, 0.005047, 0.001656, 0.001660
0.013045, 0.000006, 0.003059, 0.002101, 0.006023, 0.001858, 0.001862
0.010146, 0.000008, 0.001821, 0.001663, 0.004993, 0.001668, 0.001669
0.010038, 0.000005, 0.001673, 0.001685, 0.005010, 0.001668, 0.001670
0.010021, 0.000006, 0.001667, 0.001677, 0.005010, 0.001666, 0.001667
0.010055, 0.000007, 0.001676, 0.001681, 0.005028, 0.001666, 0.001670
0.010029, 0.000006, 0.001668, 0.001684, 0.005004, 0.001671, 0.001673
0.010024, 0.000006, 0.001665, 0.001677, 0.005017, 0.001664, 0.001665
0.009998, 0.000006, 0.001675, 0.001659, 0.004998, 0.001665, 0.001666
0.013170, 0.000006, 0.001665, 0.001686, 0.007327, 0.002479, 0.002492
0.010812, 0.000009, 0.001839, 0.001665, 0.005619, 0.001678, 0.001689
0.010301, 0.000012, 0.001729, 0.001884, 0.005013, 0.001671, 0.001675
0.010049, 0.000007, 0.001667, 0.001660, 0.005057, 0.001664, 0.001665
0.011428, 0.000006, 0.001673, 0.001693, 0.006338, 0.001722, 0.001724
0.010377, 0.000006, 0.002026, 0.001665, 0.005011, 0.001669, 0.001675
0.010013, 0.000008, 0.001672, 0.001665, 0.005004, 0.001668, 0.001672
0.010026, 0.000006, 0.001672, 0.001667, 0.005016, 0.001669, 0.001671
0.010049, 0.000007, 0.001669, 0.001684, 0.005026, 0.001668, 0.001670
0.010195, 0.000007, 0.001673, 0.001685, 0.005158, 0.001675, 0.001679
0.010063, 0.000007, 0.001668, 0.001689, 0.005032, 0.001670, 0.001674
0.010027, 0.000006, 0.001670, 0.001666, 0.005018, 0.001672, 0.001673
0.010137, 0.000006, 0.001803, 0.001657, 0.005017, 0.001657, 0.001660
0.010014, 0.000008, 0.001678, 0.001686, 0.004984, 0.001664, 0.001666
0.010073, 0.000006, 0.001670, 0.001733, 0.005003, 0.001665, 0.001667
0.011740, 0.000008, 0.001672, 0.002156, 0.005891, 0.002013, 0.002021
0.010680, 0.000008, 0.001979, 0.001857, 0.005173, 0.001669, 0.001671
0.010055, 0.000006, 0.001670, 0.001686, 0.005022, 0.001675, 0.001677
