FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
0.552249, 0.003932, 0.115182, 0.107061, 0.219960, 0.109411, 0.110046
0.539963, 0.002719, 0.109106, 0.106916, 0.215025, 0.108204, 0.108916
0.544826, 0.003449, 0.113355, 0.107128, 0.216834, 0.106772, 0.107509
0.545124, 0.002634, 0.112477, 0.106861, 0.216530, 0.108540, 0.109256
0.540628, 0.002710, 0.109101, 0.106798, 0.216603, 0.106709, 0.108126
0.548105, 0.002530, 0.108906, 0.107113, 0.221077, 0.110300, 0.111009
0.559922, 0.004022, 0.119850, 0.109926, 0.219180, 0.110254, 0.110966
0.547947, 0.002640, 0.109137, 0.106976, 0.223619, 0.106814, 0.108215
0.542112, 0.002524, 0.111756, 0.106804, 0.215737, 0.107103, 0.107815
0.545847, 0.002555, 0.111255, 0.107008, 0.216428, 0.110422, 0.111156
0.547159, 0.002613, 0.115564, 0.107027, 0.215715, 0.107457, 0.108853
0.541742, 0.002532, 0.108894, 0.106844, 0.218414, 0.106891, 0.107590
0.544272, 0.002553, 0.108874, 0.107083, 0.215770, 0.111837, 0.112545
0.539957, 0.002608, 0.109039, 0.107072, 0.215756, 0.106713, 0.108090
0.542252, 0.002526, 0.108885, 0.107032, 0.218671, 0.106959, 0.107664
0.540372, 0.002560, 0.108940, 0.106895, 0.216408, 0.107417, 0.108129
0.549739, 0.002605, 0.112646, 0.107109, 0.221106, 0.107486, 0.108878
0.539650, 0.002530, 0.108901, 0.107149, 0.216166, 0.106739, 0.107434
0.539351, 0.002555, 0.109102, 0.106823, 0.215675, 0.107045, 0.107751
0.547179, 0.002605, 0.109203, 0.110302, 0.216051, 0.110081, 0.111623
0.538721, 0.002570, 0.109042, 0.106826, 0.215471, 0.106694, 0.107382
0.541913, 0.002553, 0.111608, 0.107038, 0.215905, 0.106660, 0.107362
0.547463, 0.002619, 0.108995, 0.107001, 0.219530, 0.110390, 0.111937
0.547858, 0.002525, 0.108842, 0.107024, 0.218484, 0.112788, 0.113508
0.540922, 0.002563, 0.109318, 0.107843, 0.216279, 0.106771, 0.107482
0.545108, 0.002612, 0.109226, 0.110279, 0.215643, 0.108559, 0.109960
0.540240, 0.002531, 0.108893, 0.106918, 0.216955, 0.106769, 0.107474
0.562716, 0.002562, 0.111828, 0.107425, 0.225713, 0.117026, 0.117750
0.547229, 0.002610, 0.112409, 0.107281, 0.215863, 0.110290, 0.111676
0.547413, 0.002524, 0.108912, 0.112106, 0.218970, 0.106725, 0.107425
0.546297, 0.002558, 0.109102, 0.106947, 0.222913, 0.106632, 0.107335
0.546413, 0.002606, 0.112153, 0.107713, 0.218366, 0.106804, 0.108181
0.539515, 0.002531, 0.108990, 0.106960, 0.216205, 0.106664, 0.107360
0.556300, 0.002566, 0.112619, 0.110473, 0.224302, 0.108186, 0.108906
0.549243, 0.002613, 0.109742, 0.106919, 0.224440, 0.106740, 0.108142
0.550248, 0.002524, 0.112399, 0.106943, 0.219913, 0.110283, 0.110993
0.550803, 0.002567, 0.108963, 0.106887, 0.220607, 0.113636, 0.114346
0.540261, 0.002625, 0.109024, 0.106872, 0.216112, 0.106864, 0.108253
0.542346, 0.002531, 0.108865, 0.106881, 0.219248, 0.106658, 0.107352
0.546146, 0.002560, 0.108993, 0.113535, 0.216181, 0.106732, 0.107437
0.546348, 0.002609, 0.108955, 0.110006, 0.219398, 0.106628, 0.107989
0.545458, 0.002528, 0.112477, 0.106810, 0.218815, 0.106649, 0.107356
0.548699, 0.002555, 0.108984, 0.109350, 0.222852, 0.106802, 0.107513
0.542651, 0.002618, 0.109012, 0.107048, 0.216339, 0.108866, 0.110252
0.541929, 0.002543, 0.108862, 0.110258, 0.215323, 0.106786, 0.107486
0.545016, 0.002555, 0.108912, 0.106873, 0.221773, 0.106757, 0.107458
0.542206, 0.002615, 0.110462, 0.107038, 0.216594, 0.106717, 0.108112
0.546914, 0.002526, 0.112382, 0.110361, 0.214965, 0.108487, 0.109206
0.541429, 0.002560, 0.108915, 0.107932, 0.217140, 0.106727, 0.107442
0.548267, 0.002615, 0.108993, 0.106874, 0.220923, 0.109969, 0.111477
0.545924, 0.002568, 0.112425, 0.106990, 0.219154, 0.106657, 0.107355
0.551722, 0.002555, 0.108882, 0.110588, 0.224850, 0.106685, 0.107402
0.541160, 0.002694, 0.109518, 0.106900, 0.216666, 0.106686, 0.108076
0.539648, 0.002537, 0.108985, 0.106854, 0.216345, 0.106755, 0.107464
0.549063, 0.002559, 0.108954, 0.106920, 0.222577, 0.109877, 0.110612
0.547349, 0.002694, 0.109114, 0.106889, 0.222194, 0.107776, 0.109152
0.547507, 0.002532, 0.108863, 0.109065, 0.222202, 0.106668, 0.107377
0.539657, 0.002557, 0.109115, 0.106747, 0.216173, 0.106914, 0.107622
0.541323, 0.002604, 0.108986, 0.106998, 0.217027, 0.106925, 0.108312
0.547271, 0.002533, 0.109625, 0.106873, 0.223390, 0.106672, 0.107383
0.542818, 0.002559, 0.109298, 0.107050, 0.218579, 0.107172, 0.107891
0.552970, 0.002703, 0.113016, 0.112990, 0.218865, 0.106705, 0.108099
0.542186, 0.002525, 0.110420, 0.107265, 0.217101, 0.106693, 0.107400
0.543281, 0.002556, 0.109078, 0.106928, 0.219880, 0.106696, 0.107395
0.539744, 0.002610, 0.109123, 0.107011, 0.215383, 0.106832, 0.108227
0.543355, 0.002526, 0.108944, 0.106940, 0.216510, 0.110258, 0.110961
0.543815, 0.002567, 0.108888, 0.110360, 0.217114, 0.106754, 0.107453
0.553921, 0.002613, 0.109112, 0.110311, 0.223959, 0.109066, 0.110539
0.550994, 0.002678, 0.112019, 0.112325, 0.219264, 0.106679, 0.107386
0.545333, 0.002550, 0.109029, 0.109622, 0.217227, 0.108707, 0.109455
0.541072, 0.002724, 0.109124, 0.107032, 0.216732, 0.106784, 0.108184
0.560177, 0.002538, 0.108919, 0.115551, 0.224844, 0.110151, 0.110863
0.544000, 0.002562, 0.108918, 0.107354, 0.216875, 0.110152, 0.110853
0.544401, 0.002612, 0.112184, 0.106864, 0.215768, 0.108145, 0.109585
0.548807, 0.002567, 0.116606, 0.107108, 0.217666, 0.106719, 0.107427
0.540260, 0.002557, 0.108969, 0.107064, 0.215947, 0.107535, 0.108280
0.541425, 0.002679, 0.109109, 0.106976, 0.217235, 0.106724, 0.108105
0.546997, 0.002534, 0.109049, 0.106938, 0.221531, 0.108767, 0.109479
0.547419, 0.002562, 0.112300, 0.110392, 0.217300, 0.106720, 0.107427
0.560060, 0.002615, 0.117724, 0.108495, 0.222009, 0.110443, 0.111832
0.545516, 0.002531, 0.108939, 0.106968, 0.219927, 0.108836, 0.109682
0.544896, 0.003056, 0.109861, 0.110313, 0.217412, 0.106603, 0.107310
0.544331, 0.002612, 0.109077, 0.110165, 0.216956, 0.106742, 0.108133
0.545414, 0.002524, 0.114783, 0.106840, 0.216363, 0.106717, 0.107428
0.547786, 0.002562, 0.113066, 0.107065, 0.216823, 0.110127, 0.110832
0.554759, 0.002783, 0.113132, 0.106977, 0.219928, 0.113342, 0.114722
0.541288, 0.002527, 0.108965, 0.107081, 0.215409, 0.109137, 0.109833
0.542620, 0.002558, 0.108857, 0.106903, 0.219471, 0.106688, 0.107389
0.545823, 0.002610, 0.112267, 0.107152, 0.218313, 0.106703, 0.108091
0.554885, 0.002526, 0.116735, 0.110413, 0.220250, 0.106770, 0.107487
0.541183, 0.002564, 0.110006, 0.106863, 0.216930, 0.106673, 0.107384
0.552951, 0.002608, 0.112541, 0.110012, 0.220369, 0.108622, 0.110029
0.546769, 0.002531, 0.109091, 0.110414, 0.216370, 0.110186, 0.110894
0.542615, 0.002555, 0.108909, 0.106954, 0.219439, 0.106616, 0.107313
0.540335, 0.002613, 0.109209, 0.106992, 0.216004, 0.106733, 0.108130
0.544598, 0.002526, 0.108960, 0.107043, 0.216923, 0.110936, 0.111672
