FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
1.203330, 0.096563, 0.312754, 0.217141, 0.433630, 0.218293, 0.239805
1.200849, 0.096888, 0.309628, 0.213706, 0.439681, 0.216691, 0.237834
1.194007, 0.089211, 0.305598, 0.223810, 0.430544, 0.213263, 0.234055
1.185598, 0.089172, 0.303762, 0.215693, 0.432220, 0.213547, 0.233923
1.199421, 0.089720, 0.307402, 0.217101, 0.436906, 0.216782, 0.238012
1.196854, 0.088010, 0.300725, 0.214047, 0.439169, 0.221368, 0.242913
1.192284, 0.092861, 0.305740, 0.217035, 0.432050, 0.217051, 0.237459
1.186314, 0.089773, 0.302950, 0.217333, 0.433247, 0.213290, 0.232784
1.193292, 0.089685, 0.302576, 0.219567, 0.438123, 0.213509, 0.233026
1.188013, 0.089576, 0.305842, 0.213862, 0.434554, 0.213823, 0.233755
1.196650, 0.091318, 0.311246, 0.217118, 0.433843, 0.213469, 0.234443
1.193598, 0.092303, 0.311445, 0.213903, 0.433792, 0.214848, 0.234458
1.193517, 0.089175, 0.303332, 0.221230, 0.435587, 0.213598, 0.233368
1.191305, 0.089989, 0.302932, 0.213860, 0.437442, 0.217311, 0.237071
1.185254, 0.085650, 0.298535, 0.213950, 0.435914, 0.216564, 0.236855
1.198074, 0.088590, 0.304791, 0.221223, 0.437691, 0.213369, 0.234369
1.190281, 0.087518, 0.303476, 0.217348, 0.434987, 0.213721, 0.234470
1.192001, 0.089545, 0.303727, 0.214948, 0.438224, 0.215040, 0.235102
1.200597, 0.087867, 0.309744, 0.213953, 0.434539, 0.220256, 0.242361
1.196273, 0.087194, 0.311573, 0.217350, 0.433794, 0.213293, 0.233556
1.201212, 0.087934, 0.305227, 0.217162, 0.438599, 0.217898, 0.240224
1.192428, 0.090180, 0.312355, 0.214733, 0.431341, 0.213524, 0.233999
1.203485, 0.087503, 0.303495, 0.218802, 0.444031, 0.216912, 0.237157
1.189319, 0.088525, 0.301360, 0.214467, 0.436737, 0.216356, 0.236755
1.199862, 0.088725, 0.312532, 0.214155, 0.432352, 0.220320, 0.240823
1.192274, 0.088555, 0.306521, 0.217034, 0.433997, 0.214669, 0.234722
1.196210, 0.093528, 0.306281, 0.214510, 0.433942, 0.220249, 0.241477
1.194587, 0.091430, 0.304170, 0.217544, 0.432001, 0.220105, 0.240872
1.188207, 0.092776, 0.305547, 0.216767, 0.432146, 0.213212, 0.233747
1.177724, 0.087089, 0.301095, 0.214043, 0.428737, 0.213437, 0.233849
1.207073, 0.087816, 0.304339, 0.226368, 0.441379, 0.214663, 0.234987
1.184772, 0.087352, 0.300346, 0.213900, 0.432092, 0.218329, 0.238434
1.182760, 0.087895, 0.300736, 0.217019, 0.431112, 0.213437, 0.233893
1.194756, 0.087636, 0.303093, 0.219710, 0.434702, 0.216916, 0.237251
1.185822, 0.087051, 0.300566, 0.217357, 0.434319, 0.213398, 0.233580
1.197646, 0.091015, 0.304049, 0.213904, 0.445981, 0.213526, 0.233712
1.185901, 0.091726, 0.304520, 0.213957, 0.433636, 0.213393, 0.233788
1.191399, 0.087542, 0.303782, 0.215162, 0.432828, 0.218554, 0.239627
1.191504, 0.092186, 0.306663, 0.214141, 0.436446, 0.213611, 0.234254
1.193980, 0.087206, 0.304322, 0.214136, 0.433820, 0.220890, 0.241702
1.195400, 0.092444, 0.307967, 0.217229, 0.433124, 0.216720, 0.237080
1.289413, 0.086975, 0.304264, 0.216173, 0.470755, 0.270843, 0.298221
1.463601, 0.118158, 0.380972, 0.263244, 0.530344, 0.262993, 0.289041
1.243205, 0.116299, 0.361096, 0.214091, 0.431415, 0.214325, 0.236603
1.184736, 0.090585, 0.306618, 0.214096, 0.430372, 0.213375, 0.233650
1.192583, 0.087933, 0.300856, 0.214044, 0.436705, 0.220458, 0.240978
1.194019, 0.087459, 0.300175, 0.217704, 0.442454, 0.213373, 0.233686
1.187976, 0.088589, 0.301401, 0.218111, 0.431349, 0.216755, 0.237115
1.183998, 0.087454, 0.301881, 0.217020, 0.431621, 0.213254, 0.233476
1.189870, 0.087747, 0.305222, 0.217961, 0.433027, 0.213431, 0.233660
1.197430, 0.087916, 0.304075, 0.217092, 0.440963, 0.215081, 0.235300
1.193189, 0.087622, 0.311643, 0.213818, 0.433841, 0.213303, 0.233887
1.179360, 0.087930, 0.300662, 0.213860, 0.429394, 0.215128, 0.235444
1.187064, 0.089133, 0.301954, 0.214086, 0.437226, 0.213378, 0.233798
1.190178, 0.087780, 0.302564, 0.219184, 0.431331, 0.216378, 0.237099
1.188040, 0.092542, 0.305365, 0.213982, 0.431322, 0.216940, 0.237371
1.185783, 0.087493, 0.300347, 0.217999, 0.433866, 0.213312, 0.233571
1.181481, 0.086916, 0.299686, 0.214135, 0.433519, 0.213304, 0.234141
1.187849, 0.091476, 0.307760, 0.215444, 0.430529, 0.213726, 0.234116
