FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
0.279066, 0.002133, 0.059638, 0.056688, 0.109034, 0.053341, 0.053706
0.269902, 0.000918, 0.054077, 0.053418, 0.108671, 0.053371, 0.053736
0.274350, 0.001001, 0.054193, 0.053740, 0.111835, 0.053393, 0.054582
0.270508, 0.000932, 0.054130, 0.053393, 0.109370, 0.053341, 0.053615
0.276802, 0.000963, 0.054156, 0.055889, 0.113038, 0.053337, 0.053719
0.270540, 0.000957, 0.054112, 0.053607, 0.109134, 0.053376, 0.053687
0.270345, 0.000926, 0.054124, 0.053602, 0.108955, 0.053409, 0.053664
0.270027, 0.000909, 0.054123, 0.053508, 0.108726, 0.053271, 0.053670
0.270301, 0.000931, 0.054078, 0.053484, 0.109098, 0.053368, 0.053641
0.269532, 0.000914, 0.054083, 0.053563, 0.108278, 0.053345, 0.053608
0.270124, 0.000877, 0.054049, 0.053531, 0.108869, 0.053382, 0.053675
0.279693, 0.000898, 0.056627, 0.056836, 0.109248, 0.056569, 0.056982
0.273218, 0.000932, 0.054136, 0.053548, 0.108465, 0.056813, 0.057069
0.269850, 0.000911, 0.054072, 0.053323, 0.108805, 0.053357, 0.053650
0.276623, 0.000937, 0.054164, 0.053556, 0.111888, 0.056748, 0.057015
0.270907, 0.000913, 0.054107, 0.053515, 0.109513, 0.053340, 0.053772
0.269920, 0.000923, 0.054078, 0.053530, 0.108692, 0.053332, 0.053620
0.271673, 0.000917, 0.054079, 0.053456, 0.110483, 0.053365, 0.053655
0.270552, 0.000952, 0.054129, 0.053433, 0.109394, 0.053337, 0.053596
0.269771, 0.000899, 0.054069, 0.053343, 0.108634, 0.053347, 0.053725
0.273720, 0.000922, 0.054152, 0.057021, 0.108943, 0.053329, 0.053604
0.273145, 0.000920, 0.057282, 0.053355, 0.108886, 0.053337, 0.053622
0.278682, 0.000939, 0.054306, 0.055264, 0.108658, 0.060155, 0.060454
0.273887, 0.000902, 0.057589, 0.053399, 0.109216, 0.053312, 0.053683
0.281585, 0.000922, 0.054135, 0.054471, 0.119319, 0.053365, 0.053660
0.270069, 0.000918, 0.054105, 0.053440, 0.108922, 0.053313, 0.053602
0.273617, 0.000957, 0.054144, 0.053475, 0.112216, 0.053507, 0.053782
0.269886, 0.000902, 0.054104, 0.053479, 0.108591, 0.053343, 0.053712
0.270408, 0.000921, 0.054085, 0.053623, 0.109045, 0.053365, 0.053655
0.270361, 0.000919, 0.054126, 0.053616, 0.108930, 0.053390, 0.053689
0.270054, 0.000942, 0.054120, 0.053462, 0.108875, 0.053349, 0.053597
0.269428, 0.000901, 0.054154, 0.053458, 0.108091, 0.053347, 0.053725
0.273481, 0.000924, 0.054111, 0.056854, 0.108776, 0.053474, 0.053740
0.275731, 0.000911, 0.056863, 0.054774, 0.110344, 0.053390, 0.053750
0.271498, 0.000968, 0.054142, 0.053613, 0.109556, 0.053872, 0.054187
0.270526, 0.000901, 0.054081, 0.053508, 0.109141, 0.053408, 0.053796
0.273357, 0.000927, 0.054247, 0.053541, 0.108826, 0.056450, 0.056743
0.270163, 0.000927, 0.054107, 0.053478, 0.108916, 0.053337, 0.053662
0.285845, 0.000934, 0.054114, 0.065549, 0.112546, 0.053318, 0.053636
0.270789, 0.000904, 0.054104, 0.053447, 0.109501, 0.053346, 0.053737
0.275313, 0.000923, 0.058639, 0.053548, 0.109499, 0.053349, 0.053627
0.273706, 0.000915, 0.054093, 0.056938, 0.109003, 0.053378, 0.053672
0.273803, 0.000931, 0.054342, 0.053447, 0.109242, 0.056498, 0.056772
0.270382, 0.000913, 0.054108, 0.053431, 0.109158, 0.053301, 0.053685
0.270078, 0.000925, 0.054662, 0.053454, 0.108374, 0.053308, 0.053588
0.270481, 0.000916, 0.054111, 0.053564, 0.109013, 0.053509, 0.053793
0.273298, 0.000932, 0.054089, 0.053560, 0.112043, 0.053348, 0.053606
0.273340, 0.000915, 0.054119, 0.053436, 0.109391, 0.055921, 0.056394
0.273741, 0.000932, 0.054247, 0.053451, 0.112397, 0.053332, 0.053646
0.273406, 0.000925, 0.054130, 0.053416, 0.112253, 0.053333, 0.053607
0.270436, 0.000950, 0.054206, 0.053477, 0.109194, 0.053293, 0.053559
0.274583, 0.000902, 0.054291, 0.053636, 0.112933, 0.053340, 0.053723
0.269485, 0.000925, 0.054171, 0.053427, 0.108327, 0.053286, 0.053560
0.269864, 0.000915, 0.054098, 0.053476, 0.108679, 0.053336, 0.053611
0.271031, 0.000930, 0.054129, 0.053502, 0.108923, 0.054148, 0.054477
0.281406, 0.000929, 0.057785, 0.057205, 0.112587, 0.053348, 0.053829
0.274345, 0.000930, 0.054280, 0.053677, 0.109623, 0.056493, 0.056765
0.273571, 0.000920, 0.054119, 0.053335, 0.108704, 0.057064, 0.057413
0.283690, 0.000936, 0.054306, 0.058867, 0.116867, 0.053353, 0.053650
0.273556, 0.000918, 0.054073, 0.053419, 0.108825, 0.056853, 0.057239
0.270263, 0.000925, 0.054126, 0.053494, 0.109097, 0.053271, 0.053546
0.272932, 0.000918, 0.057261, 0.053485, 0.108527, 0.053366, 0.053659
0.273505, 0.000933, 0.054056, 0.056760, 0.109095, 0.053326, 0.053594
0.271673, 0.000912, 0.054101, 0.053460, 0.108842, 0.054611, 0.055270
0.272309, 0.001115, 0.055585, 0.053505, 0.109187, 0.053722, 0.054032
0.269971, 0.000919, 0.054089, 0.053371, 0.108644, 0.053590, 0.053867
0.270973, 0.000960, 0.054322, 0.053410, 0.109637, 0.053347, 0.053604
0.270154, 0.000901, 0.054080, 0.053509, 0.108789, 0.053421, 0.053776
0.276779, 0.000924, 0.057376, 0.053418, 0.112314, 0.053366, 0.053671
0.270755, 0.000918, 0.054066, 0.053523, 0.109452, 0.053379, 0.053714
0.272228, 0.000932, 0.055296, 0.053714, 0.109558, 0.053343, 0.053660
0.270185, 0.000905, 0.054046, 0.053355, 0.109083, 0.053341, 0.053701
0.272975, 0.000922, 0.054200, 0.053549, 0.109106, 0.055775, 0.056120
0.273759, 0.000932, 0.054154, 0.053655, 0.112285, 0.053367, 0.053665
0.273764, 0.000932, 0.054132, 0.053480, 0.109109, 0.056800, 0.057043
0.270675, 0.000900, 0.054083, 0.053519, 0.109371, 0.053325, 0.053702
0.277862, 0.000922, 0.054086, 0.056974, 0.112926, 0.053587, 0.053876
0.270818, 0.001051, 0.054280, 0.053474, 0.109122, 0.053579, 0.053942
0.271327, 0.001129, 0.055504, 0.053489, 0.108772, 0.053327, 0.053562
0.276732, 0.000896, 0.057389, 0.053390, 0.108665, 0.056810, 0.057288
0.283414, 0.001007, 0.060175, 0.060579, 0.109042, 0.053344, 0.053618
0.270224, 0.000916, 0.054070, 0.053474, 0.109094, 0.053307, 0.053586
0.275531, 0.000933, 0.054097, 0.055041, 0.111723, 0.054343, 0.054670
0.270219, 0.000916, 0.054104, 0.053466, 0.108974, 0.053292, 0.053675
