FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
0.277927, 0.001518, 0.058549, 0.054486, 0.111273, 0.053282, 0.053619
0.273475, 0.000942, 0.054100, 0.053476, 0.108640, 0.056864, 0.057259
0.273771, 0.001068, 0.054260, 0.055415, 0.109423, 0.053419, 0.054673
0.274194, 0.000968, 0.054133, 0.053427, 0.112849, 0.053461, 0.053785
0.270077, 0.001004, 0.054273, 0.053448, 0.108677, 0.053323, 0.053679
0.277147, 0.000990, 0.056575, 0.054493, 0.109126, 0.056587, 0.056953
0.275898, 0.001009, 0.054204, 0.053508, 0.114219, 0.053641, 0.053967
0.273326, 0.000950, 0.054198, 0.053431, 0.112015, 0.053282, 0.053682
0.273686, 0.000962, 0.054114, 0.053434, 0.109070, 0.056799, 0.057068
0.269565, 0.000945, 0.054103, 0.053473, 0.108347, 0.053342, 0.053642
0.270107, 0.000920, 0.054084, 0.053468, 0.108863, 0.053374, 0.053692
0.276146, 0.000969, 0.054308, 0.056737, 0.111302, 0.053396, 0.053799
0.273697, 0.001347, 0.054560, 0.053478, 0.111961, 0.053412, 0.053698
0.270411, 0.000919, 0.054394, 0.053555, 0.108716, 0.053333, 0.053746
0.270830, 0.001002, 0.054244, 0.053687, 0.109263, 0.053375, 0.053636
0.270772, 0.000938, 0.054150, 0.053469, 0.108833, 0.053412, 0.054320
0.276676, 0.000964, 0.060770, 0.053491, 0.108615, 0.053458, 0.053800
0.270093, 0.000962, 0.054124, 0.053545, 0.108832, 0.053310, 0.053592
0.277081, 0.000924, 0.054106, 0.056961, 0.112291, 0.053337, 0.053723
0.269840, 0.000949, 0.054123, 0.053453, 0.108624, 0.053317, 0.053640
0.277967, 0.000926, 0.060953, 0.053463, 0.109820, 0.053340, 0.053731
0.270234, 0.000934, 0.054120, 0.053434, 0.108968, 0.053363, 0.053712
0.270601, 0.000966, 0.054294, 0.053786, 0.108761, 0.053407, 0.053760
0.270428, 0.000961, 0.054180, 0.053407, 0.109228, 0.053327, 0.053613
0.270654, 0.000926, 0.054168, 0.053836, 0.108872, 0.053392, 0.053778
0.272055, 0.000932, 0.054297, 0.053428, 0.108939, 0.054851, 0.055391
0.272721, 0.001134, 0.055514, 0.053911, 0.109530, 0.053366, 0.053766
0.269933, 0.000934, 0.054107, 0.053501, 0.108616, 0.053369, 0.053709
0.273772, 0.000938, 0.054108, 0.056950, 0.108992, 0.053397, 0.053722
0.270785, 0.000958, 0.054209, 0.053486, 0.109157, 0.053603, 0.053933
0.270067, 0.000943, 0.054130, 0.053396, 0.108883, 0.053341, 0.053658
0.269511, 0.000931, 0.054142, 0.053430, 0.108224, 0.053369, 0.053715
0.273636, 0.000943, 0.054149, 0.053484, 0.112355, 0.053310, 0.053648
0.273863, 0.000969, 0.054335, 0.056631, 0.109184, 0.053387, 0.053713
0.270981, 0.000931, 0.054121, 0.053551, 0.109589, 0.053402, 0.053720
0.274300, 0.000924, 0.054098, 0.057197, 0.109160, 0.053447, 0.053845
0.272556, 0.000929, 0.054154, 0.055680, 0.108991, 0.053346, 0.053731
0.270117, 0.000929, 0.054120, 0.053496, 0.108850, 0.053336, 0.053651
0.270337, 0.000927, 0.054109, 0.053678, 0.108860, 0.053328, 0.053690
0.270808, 0.000969, 0.054139, 0.053587, 0.109442, 0.053343, 0.053640
0.277563, 0.000959, 0.057566, 0.053445, 0.112825, 0.053400, 0.053727
0.270232, 0.000929, 0.054104, 0.053432, 0.109005, 0.053372, 0.053691
0.270912, 0.000926, 0.054114, 0.053445, 0.109644, 0.053320, 0.053709
0.274026, 0.000936, 0.054150, 0.053517, 0.112714, 0.053316, 0.053645
