FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
0.013249, 0.000043, 0.003233, 0.002142, 0.006005, 0.001862, 0.001869
0.010097, 0.000020, 0.001761, 0.001675, 0.004990, 0.001666, 0.001671
0.010924, 0.000018, 0.001673, 0.001930, 0.005634, 0.001675, 0.001687
0.010842, 0.000020, 0.001675, 0.001656, 0.005821, 0.001681, 0.001690
0.010160, 0.000020, 0.001699, 0.001677, 0.005110, 0.001668, 0.001674
0.010067, 0.000019, 0.001685, 0.001687, 0.005015, 0.001676, 0.001680
0.010045, 0.000019, 0.001689, 0.001682, 0.004999, 0.001670, 0.001675
0.010055, 0.000017, 0.001677, 0.001667, 0.005023, 0.001682, 0.001688
0.010058, 0.000019, 0.001674, 0.001682, 0.005024, 0.001672, 0.001678
0.010062, 0.000019, 0.001686, 0.001668, 0.005011, 0.001690, 0.001697
0.010049, 0.000020, 0.001680, 0.001678, 0.005023, 0.001662, 0.001668
0.010050, 0.000019, 0.001679, 0.001671, 0.005041, 0.001654, 0.001659
0.010045, 0.000019, 0.001678, 0.001678, 0.005017, 0.001666, 0.001672
0.010028, 0.000019, 0.001683, 0.001681, 0.004989, 0.001671, 0.001675
0.010052, 0.000019, 0.001686, 0.001683, 0.005009, 0.001668, 0.001674
0.010013, 0.000017, 0.001678, 0.001657, 0.005011, 0.001662, 0.001667
0.010049, 0.000017, 0.001687, 0.001660, 0.005031, 0.001667, 0.001671
0.010060, 0.000019, 0.001682, 0.001685, 0.005012, 0.001675, 0.001681
0.010043, 0.000017, 0.001677, 0.001678, 0.005018, 0.001664, 0.001670
0.010024, 0.000019, 0.001685, 0.001659, 0.005010, 0.001664, 0.001670
0.010020, 0.000019, 0.001679, 0.001668, 0.004995, 0.001675, 0.001678
0.010061, 0.000019, 0.001683, 0.001681, 0.005025, 0.001667, 0.001672
0.010027, 0.000017, 0.001674, 0.001665, 0.005012, 0.001671, 0.001676
0.010049, 0.000017, 0.001676, 0.001657, 0.005047, 0.001663, 0.001669
0.010064, 0.000016, 0.001685, 0.001688, 0.005010, 0.001676, 0.001681
0.010028, 0.000017, 0.001677, 0.001678, 0.005006, 0.001663, 0.001667
0.010022, 0.000019, 0.001682, 0.001662, 0.005006, 0.001667, 0.001672
0.010040, 0.000017, 0.001684, 0.001667, 0.005016, 0.001668, 0.001673
0.010039, 0.000018, 0.001680, 0.001682, 0.005004, 0.001668, 0.001673
0.010107, 0.000017, 0.001682, 0.001684, 0.005064, 0.001670, 0.001677
0.010075, 0.000018, 0.001679, 0.001687, 0.005033, 0.001671, 0.001676
0.010090, 0.000017, 0.001681, 0.001686, 0.005042, 0.001674, 0.001681
0.010023, 0.000020, 0.001679, 0.001672, 0.005009, 0.001657, 0.001663
0.009997, 0.000020, 0.001683, 0.001658, 0.004986, 0.001665, 0.001670
0.010014, 0.000020, 0.001681, 0.001673, 0.004996, 0.001659, 0.001664
0.010010, 0.000018, 0.001683, 0.001660, 0.004996, 0.001668, 0.001671
0.010078, 0.000018, 0.001680, 0.001661, 0.005066, 0.001666, 0.001671
0.010046, 0.000016, 0.001678, 0.001667, 0.005024, 0.001672, 0.001677
0.010036, 0.000017, 0.001677, 0.001663, 0.005023, 0.001668, 0.001673
0.010058, 0.000017, 0.001676, 0.001680, 0.005028, 0.001668, 0.001674
0.010052, 0.000021, 0.001686, 0.001681, 0.005010, 0.001670, 0.001675
0.010021, 0.000020, 0.001682, 0.001682, 0.004983, 0.001668, 0.001674
0.010404, 0.000355, 0.002015, 0.001668, 0.005027, 0.001691, 0.001694
0.010034, 0.000013, 0.001679, 0.001660, 0.005029, 0.001663, 0.001666
0.010056, 0.000012, 0.001673, 0.001682, 0.005027, 0.001670, 0.001674
0.010047, 0.000012, 0.001678, 0.001670, 0.005020, 0.001675, 0.001679
0.010064, 0.000013, 0.001684, 0.001669, 0.005041, 0.001667, 0.001670
0.010023, 0.000012, 0.001677, 0.001665, 0.005010, 0.001667, 0.001671
0.010037, 0.000012, 0.001669, 0.001684, 0.005010, 0.001669, 0.001674
0.010005, 0.000013, 0.001679, 0.001653, 0.005013, 0.001657, 0.001660
0.010046, 0.000013, 0.001682, 0.001684, 0.005006, 0.001671, 0.001674
0.010034, 0.000013, 0.001678, 0.001667, 0.005014, 0.001672, 0.001675
0.010037, 0.000013, 0.001682, 0.001675, 0.005016, 0.001661, 0.001664
0.010022, 0.000013, 0.001672, 0.001661, 0.005020, 0.001666, 0.001669
0.010033, 0.000012, 0.001688, 0.001672, 0.005008, 0.001661, 0.001665
0.010039, 0.000012, 0.001676, 0.001664, 0.005025, 0.001670, 0.001674
0.010002, 0.000011, 0.001675, 0.001663, 0.004991, 0.001669, 0.001673
0.010062, 0.000012, 0.001681, 0.001682, 0.005028, 0.001667, 0.001671
0.010018, 0.000012, 0.001674, 0.001673, 0.005009, 0.001659, 0.001662
0.010065, 0.000013, 0.001671, 0.001659, 0.005066, 0.001666, 0.001669
0.010023, 0.000014, 0.001683, 0.001664, 0.005004, 0.001667, 0.001672
0.010025, 0.000012, 0.001683, 0.001661, 0.005008, 0.001669, 0.001673
0.010028, 0.000013, 0.001683, 0.001665, 0.005005, 0.001671, 0.001675
0.010010, 0.000012, 0.001674, 0.001680, 0.004982, 0.001669, 0.001674
0.010072, 0.000013, 0.001676, 0.001679, 0.005031, 0.001682, 0.001686
0.010032, 0.000013, 0.001673, 0.001678, 0.005010, 0.001668, 0.001671
0.010046, 0.000013, 0.001683, 0.001678, 0.005018, 0.001664, 0.001667
0.010000, 0.000012, 0.001669, 0.001666, 0.004988, 0.001674, 0.001677
0.010030, 0.000012, 0.001673, 0.001680, 0.005006, 0.001666, 0.001671
0.010031, 0.000012, 0.001669, 0.001660, 0.005030, 0.001668, 0.001672
0.010046, 0.000013, 0.001675, 0.001686, 0.005009, 0.001673, 0.001676
0.010035, 0.000012, 0.001678, 0.001684, 0.004993, 0.001675, 0.001680
0.010021, 0.000012, 0.001671, 0.001660, 0.005019, 0.001666, 0.001671
0.010021, 0.000012, 0.001668, 0.001657, 0.005026, 0.001665, 0.001670
0.010146, 0.000012, 0.001727, 0.001724, 0.005022, 0.001670, 0.001673
0.010037, 0.000012, 0.001677, 0.001660, 0.005033, 0.001664, 0.001667
0.010024, 0.000012, 0.001671, 0.001666, 0.005012, 0.001671, 0.001675
0.010056, 0.000014, 0.001669, 0.001689, 0.005016, 0.001678, 0.001682
0.010561, 0.000012, 0.001700, 0.001700, 0.005484, 0.001671, 0.001677
0.010021, 0.000014, 0.001662, 0.001682, 0.005013, 0.001661, 0.001664
0.010072, 0.000013, 0.001676, 0.001689, 0.005026, 0.001677, 0.001681
0.010031, 0.000014, 0.001672, 0.001681, 0.005011, 0.001664, 0.001667
0.010019, 0.000012, 0.001671, 0.001661, 0.005013, 0.001669, 0.001674
0.010009, 0.000012, 0.001679, 0.001661, 0.005002, 0.001664, 0.001667
0.010027, 0.000014, 0.001681, 0.001656, 0.005023, 0.001663, 0.001667
0.009989, 0.000012, 0.001670, 0.001662, 0.004987, 0.001667, 0.001670
0.010041, 0.000013, 0.001683, 0.001683, 0.004999, 0.001673, 0.001676
0.010050, 0.000013, 0.001681, 0.001661, 0.005037, 0.001666, 0.001671
0.010013, 0.000013, 0.001678, 0.001645, 0.005036, 0.001651, 0.001654
