FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
4.647701, 0.279007, 1.142775, 0.867522, 1.719812, 0.857389, 0.917592
4.641765, 0.268699, 1.131725, 0.863135, 1.731979, 0.854769, 0.914926
4.633450, 0.255036, 1.114126, 0.860415, 1.732810, 0.867417, 0.926099
4.648279, 0.252136, 1.119557, 0.862572, 1.736870, 0.873525, 0.929280
4.628383, 0.251184, 1.110264, 0.857396, 1.744822, 0.860900, 0.915901
4.604501, 0.256091, 1.109020, 0.859034, 1.728957, 0.854249, 0.907490
4.694202, 0.311059, 1.169925, 0.864579, 1.728205, 0.871693, 0.931493
4.628692, 0.249707, 1.110144, 0.867654, 1.734646, 0.861009, 0.916248
4.666842, 0.303824, 1.162537, 0.859610, 1.722493, 0.864330, 0.922202
4.624318, 0.246262, 1.108376, 0.864873, 1.738367, 0.857554, 0.912702
4.704213, 0.306900, 1.168406, 0.861743, 1.739763, 0.871855, 0.934301
4.627160, 0.254845, 1.109596, 0.864363, 1.735329, 0.862645, 0.917872
4.683850, 0.304177, 1.161039, 0.872542, 1.728303, 0.863893, 0.921966
4.613391, 0.246590, 1.101587, 0.868223, 1.732089, 0.856337, 0.911492
4.672077, 0.304843, 1.170080, 0.864880, 1.722579, 0.857144, 0.914538
4.635714, 0.246136, 1.104004, 0.869322, 1.739835, 0.864967, 0.922553
4.691457, 0.309522, 1.167724, 0.865009, 1.732077, 0.863565, 0.926647
4.623788, 0.246908, 1.104426, 0.868087, 1.735629, 0.860360, 0.915646
4.664151, 0.304274, 1.162160, 0.855845, 1.733412, 0.854954, 0.912734
4.631390, 0.246409, 1.100898, 0.860206, 1.752618, 0.860494, 0.917668
4.689571, 0.310727, 1.171338, 0.862313, 1.742135, 0.855675, 0.913785
4.621408, 0.246814, 1.107448, 0.858105, 1.735339, 0.862974, 0.920516
4.679531, 0.304466, 1.165831, 0.861075, 1.730599, 0.864018, 0.922026
4.615631, 0.246562, 1.098186, 0.866041, 1.735436, 0.860783, 0.915968
4.698236, 0.311986, 1.173460, 0.870252, 1.736225, 0.860125, 0.918299
4.624158, 0.252032, 1.112614, 0.862597, 1.731102, 0.860261, 0.917845
4.668909, 0.314325, 1.171246, 0.855915, 1.720684, 0.857792, 0.921064
4.624665, 0.252680, 1.110284, 0.861727, 1.731863, 0.863934, 0.920791
4.695343, 0.303937, 1.169139, 0.872503, 1.737447, 0.858605, 0.916254
4.609837, 0.246305, 1.100919, 0.860818, 1.731921, 0.861014, 0.916179
4.675784, 0.304089, 1.170830, 0.859341, 1.726653, 0.861927, 0.918960
4.629112, 0.248684, 1.111475, 0.867326, 1.726801, 0.869035, 0.923510
4.672586, 0.305149, 1.168555, 0.858674, 1.732773, 0.855522, 0.912584
4.651276, 0.251207, 1.102826, 0.885160, 1.750432, 0.857946, 0.912858
4.703004, 0.314033, 1.169381, 0.859031, 1.747909, 0.868836, 0.926683
4.624810, 0.249869, 1.104973, 0.862175, 1.733618, 0.868717, 0.924044
4.686576, 0.304068, 1.162622, 0.862643, 1.737154, 0.864475, 0.924157
4.630124, 0.253576, 1.111798, 0.857979, 1.741710, 0.863312, 0.918637
4.702036, 0.323317, 1.181428, 0.862845, 1.733016, 0.864686, 0.924747
4.630881, 0.246828, 1.104228, 0.866393, 1.740601, 0.861483, 0.919659
4.695460, 0.322643, 1.180414, 0.859603, 1.729524, 0.867870, 0.925919
4.604571, 0.246928, 1.103376, 0.865621, 1.719684, 0.860756, 0.915890
4.690812, 0.313930, 1.169841, 0.861473, 1.735213, 0.860906, 0.924285
4.634246, 0.249863, 1.107675, 0.868235, 1.736220, 0.864357, 0.922116
4.686037, 0.308730, 1.168197, 0.865499, 1.736989, 0.857497, 0.915352
4.618247, 0.246846, 1.101292, 0.860002, 1.744214, 0.857391, 0.912739
4.676692, 0.303929, 1.175569, 0.862963, 1.721711, 0.858383, 0.916449
4.619259, 0.248422, 1.108408, 0.865004, 1.726929, 0.861380, 0.918918
4.693386, 0.310505, 1.165210, 0.864795, 1.741805, 0.863853, 0.921576
4.626809, 0.250033, 1.105219, 0.868063, 1.739514, 0.858841, 0.914013
4.676149, 0.308653, 1.165775, 0.858708, 1.734099, 0.860065, 0.917567
4.628740, 0.246322, 1.107820, 0.867129, 1.726770, 0.866797, 0.927021
4.682348, 0.304020, 1.165348, 0.859855, 1.738322, 0.860814, 0.918823
4.616693, 0.246779, 1.103280, 0.858481, 1.739799, 0.857539, 0.915133
4.697211, 0.307487, 1.162324, 0.862579, 1.740926, 0.873124, 0.931382
4.627023, 0.246855, 1.103582, 0.862461, 1.741670, 0.864027, 0.919310
4.678758, 0.303491, 1.163225, 0.860027, 1.729872, 0.865913, 0.925634
4.635874, 0.246876, 1.110781, 0.861438, 1.738948, 0.866084, 0.924707
4.695768, 0.314203, 1.172419, 0.863237, 1.733805, 0.867018, 0.926307
4.605013, 0.248872, 1.103468, 0.859134, 1.725648, 0.859194, 0.916763
4.693494, 0.313015, 1.181636, 0.863030, 1.736044, 0.855029, 0.912784
4.622766, 0.250413, 1.108975, 0.876257, 1.727653, 0.854475, 0.909881
4.684280, 0.304214, 1.173482, 0.855993, 1.735627, 0.861102, 0.919178
