FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
2.632640, 0.390409, 0.835860, 0.427618, 0.864747, 0.426721, 0.504415
2.608825, 0.382972, 0.809152, 0.427904, 0.863916, 0.430330, 0.507853
2.703350, 0.366859, 0.804592, 0.427775, 0.873147, 0.431671, 0.597836
2.572179, 0.342801, 0.768465, 0.428874, 0.869513, 0.430419, 0.505327
2.666159, 0.431324, 0.862768, 0.434343, 0.861114, 0.430119, 0.507934
2.592649, 0.354655, 0.785744, 0.442448, 0.861703, 0.426915, 0.502754
2.586493, 0.349572, 0.777007, 0.438130, 0.865376, 0.430571, 0.505980
2.656602, 0.346602, 0.775418, 0.431175, 0.939980, 0.433512, 0.510029
2.577953, 0.347377, 0.775521, 0.428068, 0.869113, 0.426953, 0.505251
2.654563, 0.431615, 0.857121, 0.428486, 0.867888, 0.426873, 0.501068
2.663947, 0.436010, 0.861670, 0.427697, 0.867808, 0.428986, 0.506772
2.598836, 0.347803, 0.781024, 0.436490, 0.864259, 0.438811, 0.517063
2.670293, 0.360831, 0.786982, 0.428537, 0.865168, 0.431446, 0.589606
2.579077, 0.342780, 0.769640, 0.437357, 0.861001, 0.432433, 0.511079
2.668422, 0.435003, 0.860554, 0.428978, 0.873344, 0.427723, 0.505546
2.585427, 0.349602, 0.776695, 0.434584, 0.871138, 0.427147, 0.503010
2.574620, 0.345295, 0.770912, 0.431358, 0.860070, 0.436877, 0.512280
2.644242, 0.344825, 0.776422, 0.428333, 0.932250, 0.430718, 0.507237
2.583973, 0.344370, 0.773410, 0.430308, 0.862256, 0.439725, 0.517999
2.659071, 0.430798, 0.859704, 0.428502, 0.864493, 0.432171, 0.506372
2.681410, 0.439295, 0.868625, 0.434054, 0.868094, 0.432737, 0.510637
2.585783, 0.346347, 0.771917, 0.432421, 0.870650, 0.435124, 0.510795
2.687137, 0.353245, 0.788923, 0.434561, 0.857765, 0.431790, 0.605888
2.577305, 0.342547, 0.768627, 0.428069, 0.873791, 0.431553, 0.506818
2.706226, 0.437710, 0.883266, 0.441963, 0.873133, 0.426811, 0.507864
2.568183, 0.348054, 0.773692, 0.428924, 0.859068, 0.430097, 0.506499
2.580923, 0.343924, 0.775055, 0.431350, 0.868749, 0.430328, 0.505769
2.650457, 0.345314, 0.771690, 0.431267, 0.935607, 0.435184, 0.511893
2.630567, 0.369538, 0.808972, 0.450796, 0.866092, 0.430357, 0.504707
2.652857, 0.425799, 0.851205, 0.427991, 0.865352, 0.430856, 0.508309
2.661565, 0.435867, 0.861787, 0.428376, 0.863207, 0.430455, 0.508195
2.584258, 0.343410, 0.775785, 0.430454, 0.866887, 0.435557, 0.511132
2.661566, 0.348113, 0.773628, 0.434464, 0.869126, 0.428823, 0.584348
2.602927, 0.346444, 0.775437, 0.435927, 0.868519, 0.446204, 0.523044
2.661042, 0.429395, 0.855296, 0.428138, 0.866027, 0.433776, 0.511581
2.592937, 0.344265, 0.774031, 0.440471, 0.872052, 0.430492, 0.506383
2.563293, 0.342628, 0.768417, 0.432066, 0.860403, 0.426986, 0.502407
2.645161, 0.345208, 0.772702, 0.430006, 0.931609, 0.434324, 0.510844
2.575184, 0.342412, 0.775237, 0.429613, 0.868544, 0.427304, 0.501790
2.672945, 0.428109, 0.859999, 0.437836, 0.867460, 0.430106, 0.507650
2.701758, 0.465646, 0.899428, 0.428123, 0.866623, 0.428819, 0.507584
2.580068, 0.345440, 0.771584, 0.427459, 0.872735, 0.430047, 0.508290
2.653469, 0.346872, 0.776048, 0.427800, 0.861366, 0.431888, 0.588255
2.577019, 0.342598, 0.768223, 0.434961, 0.871904, 0.426847, 0.501931
2.678706, 0.429606, 0.855251, 0.428143, 0.873706, 0.443777, 0.521606
2.576775, 0.344997, 0.773748, 0.434157, 0.859105, 0.433868, 0.509765
2.584663, 0.348417, 0.774020, 0.427706, 0.874603, 0.429997, 0.508334
2.666426, 0.350812, 0.783781, 0.431565, 0.943441, 0.431078, 0.507639
2.588315, 0.349149, 0.774828, 0.438281, 0.870737, 0.430028, 0.504469
2.660661, 0.427730, 0.853536, 0.427521, 0.871880, 0.430267, 0.507724
2.694725, 0.451795, 0.885823, 0.429851, 0.867699, 0.431735, 0.511352
2.579996, 0.343377, 0.768820, 0.431290, 0.870421, 0.429884, 0.509465
2.671438, 0.346032, 0.771377, 0.434651, 0.864575, 0.433686, 0.600835
2.570350, 0.345784, 0.775494, 0.427837, 0.860018, 0.431721, 0.507001
2.665516, 0.433463, 0.858919, 0.428152, 0.872198, 0.428411, 0.506247
2.599541, 0.352742, 0.784604, 0.431192, 0.872811, 0.435049, 0.510934
2.598502, 0.342965, 0.778540, 0.436389, 0.870536, 0.437520, 0.513037
2.653243, 0.345088, 0.770609, 0.427877, 0.945854, 0.432446, 0.508903
2.578441, 0.349679, 0.779413, 0.430716, 0.862554, 0.431398, 0.505758
2.672023, 0.427201, 0.857619, 0.437336, 0.872769, 0.430128, 0.504299
2.666307, 0.439786, 0.867132, 0.432625, 0.858504, 0.430275, 0.508046
2.575046, 0.353455, 0.782918, 0.431152, 0.853975, 0.431374, 0.507001
2.669265, 0.348175, 0.782573, 0.433956, 0.870132, 0.426850, 0.582604
2.589664, 0.357045, 0.783852, 0.431043, 0.872827, 0.426817, 0.501942
2.671228, 0.429922, 0.862005, 0.428085, 0.867716, 0.432821, 0.513422
2.587657, 0.349118, 0.780304, 0.430817, 0.868390, 0.430199, 0.508146
2.576343, 0.342709, 0.771667, 0.427938, 0.874331, 0.427006, 0.502407
2.662130, 0.345318, 0.789910, 0.429808, 0.935064, 0.430890, 0.507348
2.598165, 0.347078, 0.776300, 0.427511, 0.881398, 0.434772, 0.512956
2.660521, 0.433842, 0.866907, 0.427536, 0.860246, 0.428265, 0.505832
2.673476, 0.438272, 0.867996, 0.432882, 0.865753, 0.429016, 0.506845
2.581282, 0.354664, 0.780316, 0.433777, 0.862395, 0.429124, 0.504794
2.669477, 0.348293, 0.785183, 0.430750, 0.868573, 0.429386, 0.584971
2.577421, 0.342717, 0.771656, 0.427593, 0.869329, 0.430052, 0.508843
2.682820, 0.434280, 0.868704, 0.433924, 0.870600, 0.431743, 0.509592
2.569898, 0.344547, 0.773819, 0.431111, 0.861573, 0.427616, 0.503395
2.571624, 0.342816, 0.773980, 0.428035, 0.865999, 0.428084, 0.503610
2.683544, 0.344457, 0.776763, 0.431248, 0.971076, 0.427933, 0.504457
